src_id,station_name,station_file_name,historic_county,authority,station_latitude,station_longitude,station_elevation,first_year,last_year
00911,ACHAGLACHGACH,achaglachgach,argyll-in-strathclyde-region,Met Office,55.822,-5.493,12.0,1972.0,1978.0
00912,KNAPDALE FOREST,knapdale-forest,argyll-in-strathclyde-region,Met Office,56.06,-5.553,40.0,1972.0,1976.0
00913,STRONACHULLIN NO 2,stronachullin-no-2,argyll-in-strathclyde-region,Met Office,55.96,-5.444,2.0,1976.0,1989.0
00914,OBAN COASTGUARD,oban-coastguard,argyll-in-strathclyde-region,Met Office,56.412,-5.472,17.0,1985.0,2000.0
00915,LOCHGILPHEAD,lochgilphead,argyll-in-strathclyde-region,Met Office,56.034,-5.428,6.0,1985.0,2021.0
00917,KNAPDALE FOREST NO 2,knapdale-forest-no-2,argyll-in-strathclyde-region,Met Office,56.059,-5.482,12.0,1977.0,1985.0
00918,DUNSTAFFNAGE,dunstaffnage,argyll-in-strathclyde-region,Met Office,56.45,-5.44,3.0,1972.0,2024.0
00919,INVERINAN MOR,inverinan-mor,argyll-in-strathclyde-region,Met Office,56.306,-5.244,70.0,1989.0,2005.0
00921,GLENBRANTER NO 2,glenbranter-no-2,argyll-in-strathclyde-region,Met Office,56.135,-5.038,24.0,1972.0,1976.0
00922,KILCHRENAN,kilchrenan,argyll-in-strathclyde-region,Met Office,56.357,-5.177,80.0,1979.0,1985.0
00923,INVERINAN,inverinan,argyll-in-strathclyde-region,Met Office,56.308,-5.238,46.0,1985.0,1989.0
00924,GLEN ETIVE NO 2,glen-etive-no-2,argyll-in-strathclyde-region,Met Office,56.583,-5.025,24.0,1972.0,1972.0
00925,"BENMORE, FORESTRY SCHOOL",benmore-forestry-school,argyll-in-strathclyde-region,Met Office,56.024,-4.989,14.0,1932.0,1958.0
00926,"BENMORE, YOUNGER BOTANIC GARDEN",benmore-younger-botanic-garden,argyll-in-strathclyde-region,Met Office,56.028,-4.985,12.0,1972.0,2024.0
00927,GLENCEITLEIN,glenceitlein,argyll-in-strathclyde-region,Met Office,56.585,-5.017,40.0,1973.0,1978.0
00928,ARDENTINNY,ardentinny,argyll-in-strathclyde-region,Met Office,56.046,-4.914,5.0,1979.0,1997.0
00929,BRIDGE OF ORCHY NO 2,bridge-of-orchy-no-2,argyll-in-strathclyde-region,Met Office,56.518,-4.768,150.0,1986.0,1986.0
00930,BLACK MOUNT,black-mount,argyll-in-strathclyde-region,Met Office,56.545,-4.796,175.0,1989.0,2006.0
00931,ARRAN: LOCHRANZA NO 3,arran-lochranza-no-3,buteshire,Met Office,55.706,-5.304,46.0,1988.0,2008.0
00934,PLADDA LIGHTHOUSE,pladda-lighthouse,argyll-in-strathclyde-region,Met Office,55.424,-5.118,12.0,1986.0,1990.0
00935,ARRAN: KILDONAN,arran-kildonan,buteshire,Met Office,55.442,-5.108,18.0,1972.0,1986.0
00937,ARRAN: BRODICK CASTLE,arran-brodick-castle,buteshire,Met Office,55.592,-5.154,15.0,1972.0,2024.0
00938,BUTE: DHU LOCH W WKS,bute-dhu-loch-w-wks,buteshire,Met Office,55.816,-5.08,83.0,1983.0,1986.0
00939,BUTE: ROTHESAY,bute-rothesay,buteshire,Met Office,55.839,-5.064,43.0,1972.0,2013.0
00940,GT CUMBRAE: MILLPORT,gt-cumbrae-millport,buteshire,Met Office,55.749,-4.908,5.0,1951.0,2024.0
00941,COULPORT,coulport,dunbartonshire,Met Office,56.059,-4.873,114.0,1974.0,1979.0
00942,FINNART,finnart,dunbartonshire,Met Office,56.116,-4.831,15.0,1972.0,1976.0
00944,HELENSBURGH NO 2,helensburgh-no-2,dunbartonshire,Met Office,56.016,-4.724,96.0,1980.0,2002.0
00945,BLAIRVADACH,blairvadach,dunbartonshire,Met Office,56.028,-4.794,4.0,1975.0,1982.0
00946,SLOY,sloy,dunbartonshire,Met Office,56.251,-4.712,12.0,1965.0,2006.0
00947,KEIL SCHOOL,keil-school,dunbartonshire,Met Office,55.942,-4.584,40.0,1991.0,1993.0
00949,"GARTOCHARN, PORTNELLAN FARM",gartocharn-portnellan-farm,dunbartonshire,Met Office,56.048,-4.567,40.0,1993.0,2024.0
00950,ARROCHYMORE,arrochymore,stirling-in-central-region,Met Office,56.093,-4.549,30.0,1972.0,1991.0
00951,KIRKINTILLOCH,kirkintilloch,dunbartonshire,Met Office,55.943,-4.139,60.0,1977.0,1984.0
00953,CUMBERNAULD,cumbernauld,dunbartonshire,Met Office,55.961,-3.969,94.0,1972.0,1978.0
00954,MUGDOCK PARK,mugdock-park,stirling-in-central-region,Met Office,55.973,-4.33,165.0,1990.0,2024.0
00955,EARLS HILL,earls-hill,stirling-in-central-region,Met Office,56.07,-4.05,335.0,1968.0,1973.0
00956,STIRLING S WKS,stirling-s-wks,stirling-in-central-region,Met Office,56.119,-3.919,7.0,1983.0,1999.0
00957,"STIRLING, BATTERFLATS",stirling-batterflats,stirling-in-central-region,Met Office,56.11,-3.954,38.0,1972.0,1982.0
00959,"PARKHEAD, STIRLING UNIVERSITY",parkhead-stirling-university,stirling-in-central-region,Met Office,56.149,-3.907,35.0,1972.0,2004.0
00960,"FALKIRK, S WKS",falkirk-s-wks,stirling-in-central-region,Met Office,56.018,-3.763,3.0,1972.0,2001.0
00962,GRANGEMOUTH,grangemouth,stirling-in-central-region,Met Office,56.018,-3.72,4.0,1972.0,1978.0
00963,GRANGEMOUTH REFINERY,grangemouth-refinery,stirling-in-central-region,Met Office,56.009,-3.686,2.0,1972.0,2024.0
00964,GREENOCK MRCC,greenock-mrcc,renfrewshire,Met Office,55.962,-4.794,5.0,1987.0,2007.0
00965,GREENOCK,greenock,renfrewshire,Met Office,55.943,-4.765,61.0,1972.0,1986.0
00967,UPLAWMOOR,uplawmoor,renfrewshire,Met Office,55.765,-4.501,128.0,1977.0,1996.0
00968,PAISLEY,paisley,renfrewshire,Met Office,55.845,-4.431,32.0,1914.0,2011.0
00969,BARRHEAD,barrhead,renfrewshire,Met Office,55.811,-4.378,30.0,1972.0,1977.0
00970,RENFREW,renfrew,renfrewshire,Met Office,55.867,-4.386,8.0,1949.0,1966.0
00971,ABBOTSINCH,abbotsinch,renfrewshire,Met Office,55.869,-4.431,5.0,1966.0,1999.0
00972,POLLOK COUNTRY PARK,pollok-country-park,renfrewshire,Met Office,55.825,-4.315,16.0,1991.0,2024.0
00973,DRUMCLOG,drumclog,lanarkshire,Met Office,55.627,-4.201,227.0,1983.0,2008.0
00974,CROSSMYLOOF,crossmyloof,lanarkshire,Met Office,55.836,-4.282,23.0,1972.0,1973.0
00975,GLASGOW WEATHER CENTRE,glasgow-weather-centre,lanarkshire,Met Office,55.86,-4.264,40.0,1974.0,1985.0
00977,"GLASGOW, SPRINGBURN",glasgow-springburn,lanarkshire,Met Office,55.89,-4.227,107.0,1972.0,1997.0
00978,EAST KILBRIDE NO 2,east-kilbride-no-2,lanarkshire,Met Office,55.755,-4.172,178.0,1972.0,2005.0
00980,"MOTHERWELL, STRATHCLYDE PARK",motherwell-strathclyde-park,lanarkshire,Met Office,55.786,-4.023,22.0,1979.0,2024.0
00981,COATBRIDGE,coatbridge,lanarkshire,Met Office,55.855,-4.056,66.0,1972.0,1986.0
00982,SALSBURGH,salsburgh,lanarkshire,Met Office,55.861,-3.875,277.0,1968.0,2024.0
00983,LEADHILLS,leadhills,lanarkshire,Met Office,55.416,-3.76,393.0,1953.0,2019.0
00984,LOWTHER HILL,lowther-hill,lanarkshire,Met Office,55.378,-3.753,754.0,1968.0,1968.0
00986,CRAWFORDJOHN,crawfordjohn,lanarkshire,Met Office,55.496,-3.776,274.0,1968.0,1983.0
00987,DRUMALBIN,drumalbin,lanarkshire,Met Office,55.627,-3.736,245.0,1984.0,2024.0
00989,LANARK,lanark,lanarkshire,Met Office,55.671,-3.79,152.0,1972.0,1982.0
00990,ABINGTON,abington,lanarkshire,Met Office,55.489,-3.692,247.0,1982.0,1994.0
00991,CARNWATH,carnwath,lanarkshire,Met Office,55.7,-3.634,208.0,1972.0,2006.0
00992,CAMPS RESR,camps-resr,lanarkshire,Met Office,55.487,-3.589,295.0,1972.0,1999.0
00994,GIRVAN,girvan,ayrshire,Met Office,55.243,-4.857,8.0,1972.0,2012.0
00996,HUNTERSTON NO 3,hunterston-no-3,ayrshire,Met Office,55.722,-4.894,8.0,1972.0,2024.0
00999,CULZEAN CASTLE,culzean-castle,ayrshire,Met Office,55.351,-4.791,42.0,1991.0,2017.0
01002,LARGS NO 2,largs-no-2,ayrshire,Met Office,55.802,-4.849,60.0,1977.0,1978.0
01003,BARR,barr,ayrshire,Met Office,55.211,-4.695,122.0,1972.0,1983.0
01004,"TROON, MARR COLLEGE",troon-marr-college,ayrshire,Met Office,55.546,-4.641,12.0,1973.0,1975.0
01005,AUCHINCRUIVE,auchincruive,ayrshire,Met Office,55.477,-4.565,48.0,1932.0,2024.0
01006,PRESTWICK NO 2,prestwick-no-2,ayrshire,Met Office,55.501,-4.584,16.0,1957.0,1998.0
01007,"PRESTWICK, GANNET",prestwick-gannet,ayrshire,Met Office,55.515,-4.585,27.0,1993.0,2024.0
01008,DALRY,dalry,ayrshire,Met Office,55.718,-4.719,33.0,1981.0,2005.0
01009,LOCH BRADAN W WKS,loch-bradan-w-wks,ayrshire,Met Office,55.263,-4.463,250.0,1993.0,2000.0
01011,KILMARNOCK NO 2,kilmarnock-no-2,ayrshire,Met Office,55.608,-4.519,34.0,1972.0,1981.0
01012,CUMNOCK,cumnock,ayrshire,Met Office,55.453,-4.274,99.0,1975.0,2004.0
01013,SAUGHALL,saughall,ayrshire,Met Office,55.601,-4.226,221.0,1994.0,2013.0
01015,"DUMFRIES, DRUNGANS",dumfries-drungans,kirkcudbrightshire,Met Office,55.054,-3.645,16.0,1983.0,2004.0
01016,TROQUEER S WKS,troqueer-s-wks,dumfriesshire,Met Office,55.058,-3.616,5.0,1972.0,1974.0
01017,DUMFRIES,dumfries,dumfriesshire,Met Office,55.056,-3.595,49.0,1972.0,1998.0
01018,AUCHEN CASTLE,auchen-castle,dumfriesshire,Met Office,55.329,-3.482,184.0,1972.0,1994.0
01019,DRUMLANRIG CASTLE,drumlanrig-castle,dumfriesshire,Met Office,55.272,-3.804,75.0,1980.0,1982.0
01023,ESKDALEMUIR,eskdalemuir,dumfriesshire,Met Office,55.312,-3.207,236.0,1910.0,2024.0
01024,BARGRENNAN,bargrennan,kirkcudbrightshire,Met Office,55.077,-4.569,110.0,1972.0,1998.0
01025,PALNURE NO 2,palnure-no-2,kirkcudbrightshire,Met Office,54.952,-4.419,15.0,1972.0,1985.0
01026,CLATTERINGSHAWS NO 2,clatteringshaws-no-2,kirkcudbrightshire,Met Office,55.075,-4.266,178.0,1972.0,2004.0
01027,GLENLEE,glenlee,kirkcudbrightshire,Met Office,55.099,-4.185,55.0,1972.0,2013.0
01028,DUNDEUGH,dundeugh,kirkcudbrightshire,Met Office,55.165,-4.202,119.0,1972.0,1981.0
01030,KIRKCUDBRIGHT NO 2,kirkcudbright-no-2,kirkcudbrightshire,Met Office,54.804,-4.052,3.0,1972.0,1974.0
01031,GIRDSTINGWOOD NO 2,girdstingwood-no-2,kirkcudbrightshire,Met Office,54.8,-3.958,91.0,1984.0,1989.0
01033,DUNDRENNAN,dundrennan,kirkcudbrightshire,Met Office,54.803,-4.008,113.0,1983.0,2024.0
01034,GLENLOCHAR BARRAGE,glenlochar-barrage,kirkcudbrightshire,Met Office,54.96,-3.982,47.0,1972.0,1997.0
01035,THREAVE,threave,kirkcudbrightshire,Met Office,54.926,-3.95,73.0,1994.0,2024.0
01037,CORSEWALL POINT,corsewall-point,wigtownshire,Met Office,55.008,-5.16,15.0,1984.0,1992.0
01039,WEST FREUGH,west-freugh,wigtownshire,Met Office,54.859,-4.935,11.0,1983.0,2024.0
01040,PENWHIRN,penwhirn,wigtownshire,Met Office,54.983,-4.929,166.0,1972.0,1997.0
01041,MULL OF GALLOWAY,mull-of-galloway,wigtownshire,Met Office,54.635,-4.857,78.0,1957.0,1988.0
01042,CREEBRIDGE,creebridge,wigtownshire,Met Office,54.96,-4.475,18.0,1986.0,2005.0
01043,WHITHORN,whithorn,wigtownshire,Met Office,54.703,-4.418,40.0,1982.0,1994.0
01044,NEWTON STEWART,newton-stewart,wigtownshire,Met Office,54.96,-4.491,46.0,1972.0,1982.0
01050,ST BEES HEAD,st-bees-head,cumbria,Met Office,54.513,-3.637,94.0,1983.0,1987.0
01051,SELLAFIELD,sellafield,cumbria,Met Office,54.415,-3.501,13.0,1972.0,1980.0
01053,SELLAFIELD NO 2,sellafield-no-2,cumbria,Met Office,54.426,-3.507,22.0,1980.0,1997.0
01054,ESKMEALS,eskmeals,cumbria,Met Office,54.325,-3.408,8.0,1979.0,2001.0
01055,ST BEES HEAD NO 2,st-bees-head-no-2,cumbria,Met Office,54.518,-3.615,125.0,1983.0,2024.0
01056,FRIZINGTON,frizington,cumbria,Met Office,54.551,-3.461,170.0,1991.0,2001.0
01057,GREYSOUTHEN,greysouthen,cumbria,Met Office,54.647,-3.443,69.0,1991.0,1997.0
01058,STAINBURN,stainburn,cumbria,Met Office,54.646,-3.525,34.0,1983.0,1991.0
01059,EAGLESFIELD,eaglesfield,cumbria,Met Office,54.639,-3.385,102.0,1982.0,1983.0
01060,KESWICK,keswick,cumbria,Met Office,54.614,-3.157,88.0,1983.0,2024.0
01061,ASPATRIA,aspatria,cumbria,Met Office,54.768,-3.316,62.0,1979.0,2003.0
01062,SILLOTH,silloth,cumbria,Met Office,54.87,-3.365,8.0,1957.0,1960.0
01063,"ULPHA, BLACK HALL",ulpha-black-hall,cumbria,Met Office,54.401,-3.174,210.0,1994.0,1999.0
01064,SEATOLLER,seatoller,cumbria,Met Office,54.513,-3.168,90.0,1990.0,1993.0
01066,DRUMBURGH,drumburgh,cumbria,Met Office,54.931,-3.158,7.0,1994.0,2019.0
01067,BLENCATHRA,blencathra,cumbria,Met Office,54.62,-3.081,250.0,1992.0,2024.0
01068,FELLSIDE NO 2,fellside-no-2,cumbria,Met Office,54.728,-3.081,285.0,1988.0,1992.0
01070,CARLISLE,carlisle,cumbria,Met Office,54.934,-2.964,28.0,1961.0,2024.0
01071,WHINS POND,whins-pond,cumbria,Met Office,54.669,-2.705,125.0,1989.0,1994.0
01072,PENTON,penton,cumbria,Met Office,55.086,-2.864,113.0,1992.0,2010.0
01073,NEWTON RIGG,newton-rigg,cumbria,Met Office,54.67,-2.788,169.0,1906.0,2021.0
01074,WARCOP RANGE,warcop-range,cumbria,Met Office,54.572,-2.413,227.0,1983.0,2024.0
01075,SPADEADAM,spadeadam,cumbria,Met Office,55.041,-2.629,274.0,1972.0,1973.0
01076,SPADEADAM NO 2,spadeadam-no-2,cumbria,Met Office,55.05,-2.554,285.0,1992.0,2024.0
01078,WALNEY ISLAND,walney-island,cumbria,Met Office,54.125,-3.258,15.0,1983.0,2024.0
01079,HEVERSHAM,heversham,cumbria,Met Office,54.242,-2.772,30.0,1973.0,1977.0
01080,LEVENS HALL,levens-hall,cumbria,Met Office,54.259,-2.778,7.0,1992.0,2024.0
01082,CASTERTON NO 2,casterton-no-2,cumbria,Met Office,54.209,-2.569,127.0,1990.0,2003.0
01083,SHAP,shap,cumbria,Met Office,54.502,-2.685,263.0,1988.0,2024.0
01084,GREAT DUN FELL,great-dun-fell,cumbria,Met Office,54.684,-2.45,847.0,1961.0,2002.0
01085,GREAT DUN FELL NO 2,great-dun-fell-no-2,cumbria,Met Office,54.684,-2.451,847.0,1994.0,2024.0
01086,MOOR HOUSE,moor-house,cumbria,Met Office,54.69,-2.377,556.0,1972.0,1980.0
01087,WIDDYBANK FELL,widdybank-fell,cumbria,Met Office,54.663,-2.284,513.0,1974.0,1995.0
01088,"SOUTHPORT, GREENBANK",southport-greenbank,merseyside,Met Office,53.622,-3.028,15.0,1988.0,2004.0
01090,"BLACKPOOL, SQUIRES GATE",blackpool-squires-gate,lancashire,Met Office,53.776,-3.038,10.0,1957.0,2024.0
01093,AIGBURTH (RTC),aigburth-rtc,merseyside,Met Office,53.36,-2.927,12.0,1972.0,1992.0
01094,SOUTHPORT NO 2,southport-no-2,merseyside,Met Office,53.653,-3.005,7.0,1987.0,1988.0
01095,SOUTHPORT,southport,merseyside,Met Office,53.679,-2.954,5.0,1972.0,1986.0
01096,AUGHTON,aughton,lancashire,Met Office,53.55,-2.916,54.0,1978.0,1996.0
01097,POULTON-LE-FYLDE,poulton-le-fylde,lancashire,Met Office,53.838,-2.995,12.0,1972.0,1975.0
01099,CARTMEL,cartmel,cumbria,Met Office,54.197,-2.95,35.0,1972.0,1980.0
01100,GRIZEDALE,grizedale,cumbria,Met Office,54.338,-3.021,91.0,1972.0,2007.0
01101,SPEKE,speke,merseyside,Met Office,53.332,-2.847,22.0,1957.0,1977.0
01102,ST HELENS,st-helens,merseyside,Met Office,53.438,-2.772,76.0,1973.0,1982.0
01103,LATHOM PARK,lathom-park,lancashire,Met Office,53.571,-2.817,55.0,1972.0,1997.0
01104,KIRKHAM,kirkham,lancashire,Met Office,53.804,-2.891,24.0,1972.0,1980.0
01105,HAZELRIGG,hazelrigg,lancashire,Met Office,54.014,-2.775,95.0,1976.0,2024.0
01107,BAILRIGG,bailrigg,lancashire,Met Office,54.005,-2.789,52.0,1972.0,1976.0
01109,RAINHILL,rainhill,merseyside,Met Office,53.4,-2.738,55.0,1991.0,2002.0
01111,"PRESTON, MOOR PARK",preston-moor-park,lancashire,Met Office,53.774,-2.705,33.0,1950.0,2024.0
01112,MYERSCOUGH,myerscough,lancashire,Met Office,53.854,-2.767,14.0,1987.0,2024.0
01115,WINTER HILL,winter-hill,lancashire,Met Office,53.626,-2.516,440.0,1993.0,2012.0
01117,BOLTON,bolton,greater-manchester,Met Office,53.6,-2.419,107.0,1889.0,1991.0
01118,DARWEN,darwen,lancashire,Met Office,53.69,-2.475,221.0,1921.0,1930.0
01119,STONYHURST,stonyhurst,lancashire,Met Office,53.845,-2.47,115.0,1884.0,2024.0
01120,MANCHESTER WEATHER CENTRE,manchester-weather-centre,greater-manchester,Met Office,53.483,-2.244,69.0,1974.0,1986.0
01121,SHUTTLEWORTH,shuttleworth,lancashire,Met Office,53.655,-2.289,235.0,1994.0,1998.0
01122,HELMSHORE,helmshore,lancashire,Met Office,53.68,-2.344,260.0,1972.0,1981.0
01124,NELSON (LANCS),nelson-lancs,lancashire,Met Office,53.842,-2.196,165.0,1972.0,1976.0
01125,ROCHDALE,rochdale,greater-manchester,Met Office,53.609,-2.179,110.0,1947.0,2024.0
01126,WYCOLLER,wycoller,lancashire,Met Office,53.844,-2.09,245.0,1994.0,2004.0
01128,BIDSTON,bidston,merseyside,Met Office,53.4,-3.075,60.0,1976.0,2001.0
01129,BRADELEY GREEN,bradeley-green,cheshire,Met Office,52.996,-2.687,115.0,1990.0,2003.0
01130,NESS GARDENS,ness-gardens,cheshire,Met Office,53.272,-3.047,38.0,1972.0,2011.0
01131,DELAMERE FOREST NO 2,delamere-forest-no-2,cheshire,Met Office,53.237,-2.707,68.0,1989.0,1996.0
01132,"NANTWICH, REASEHEATH HALL",nantwich-reaseheath-hall,cheshire,Met Office,53.086,-2.526,40.0,1988.0,2024.0
01133,WINNINGTON,winnington,cheshire,Met Office,53.268,-2.537,20.0,1972.0,1976.0
01134,KNUTSFORD,knutsford,cheshire,Met Office,53.301,-2.368,65.0,1994.0,2000.0
01135,RINGWAY,ringway,greater-manchester,Met Office,53.356,-2.281,69.0,1949.0,2004.0
01136,MACCLESFIELD,macclesfield,cheshire,Met Office,53.265,-2.136,143.0,1900.0,2005.0
01137,RHYL NO 2,rhyl-no-2,clwyd,Met Office,53.259,-3.509,77.0,1986.0,2024.0
01138,RHYL COASTGUARD,rhyl-coastguard,clwyd,Met Office,53.325,-3.488,15.0,1993.0,1993.0
01139,RHYL,rhyl,clwyd,Met Office,53.314,-3.501,9.0,1911.0,1978.0
01141,PRESTATYN,prestatyn,clwyd,Met Office,53.342,-3.412,4.0,1932.0,2024.0
01142,MOEL-Y-CRIO,moel-y-crio,clwyd,Met Office,53.22,-3.209,263.0,1986.0,2005.0
01143,HAWARDEN BRIDGE,hawarden-bridge,clwyd,Met Office,53.217,-3.029,5.0,1924.0,2004.0
