run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay,src_id
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,A,S,52,0,7,25.423729,28.813559,16.949153,3.389831,5.084746,0.0,3.389831,5.084746,0.0,0.0,11.864407,21.0,65,68.656716,21.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,MANCHESTER,LOGANAIR LTD,D,S,50,0,8,0.0,39.655172,31.034483,5.172414,8.62069,0.0,0.0,1.724138,0.0,0.0,13.793103,12.0,62,68.75,20.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,73.333333,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWCASTLE,LOGANAIR LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,59.259259,22.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,A,S,14,0,1,20.0,20.0,20.0,6.666667,6.666667,0.0,6.666667,13.333333,0.0,0.0,6.666667,49.0,5,66.666667,12.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NEWQUAY,LOGANAIR LTD,D,S,17,0,0,0.0,23.529412,29.411765,23.529412,0.0,11.764706,11.764706,0.0,0.0,0.0,0.0,34.0,9,88.888889,5.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,A,S,44,0,3,19.148936,40.425532,12.765957,10.638298,0.0,4.255319,4.255319,2.12766,0.0,0.0,6.382979,19.0,41,72.727273,10.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,NORWICH,LOGANAIR LTD,D,S,43,0,3,0.0,45.652174,28.26087,4.347826,4.347826,4.347826,2.173913,4.347826,0.0,0.0,6.521739,21.0,41,72.093023,13.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,EASTERN AIRWAYS,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,34.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,A,S,62,0,7,8.695652,34.782609,15.942029,11.594203,4.347826,7.246377,1.449275,4.347826,1.449275,0.0,10.144928,39.0,40,31.343284,24.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SUMBURGH,LOGANAIR LTD,D,S,62,0,7,1.449275,20.289855,39.130435,10.144928,2.898551,10.144928,1.449275,1.449275,2.898551,0.0,10.144928,39.0,40,37.096774,21.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,50.0,13.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,SOUTHAMPTON,LOGANAIR LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,46.153846,40.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,STORNOWAY,LOGANAIR LTD,A,S,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,100.0,3.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,A,S,24,0,3,22.222222,29.62963,7.407407,7.407407,7.407407,7.407407,3.703704,3.703704,0.0,0.0,11.111111,31.0,0,0.0,,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,EASTERN AIRWAYS,D,S,24,0,1,0.0,56.0,4.0,8.0,8.0,16.0,0.0,4.0,0.0,0.0,4.0,33.0,0,0.0,,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,A,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,74.074074,17.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,TEESSIDE INTERNATIONAL AIRPORT,LOGANAIR LTD,D,S,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,74.074074,4.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,A,S,27,0,11,23.684211,18.421053,10.526316,2.631579,10.526316,5.263158,0.0,0.0,0.0,0.0,28.947368,15.0,33,27.45098,38.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,UNITED KINGDOM,WICK JOHN O GROATS,EASTERN AIRWAYS,D,S,27,0,11,2.631579,31.578947,18.421053,5.263158,7.894737,5.263158,0.0,0.0,0.0,0.0,28.947368,15.0,33,35.294118,26.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,DENMARK,COPENHAGEN,SAS,A,S,5,0,0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,DENMARK,COPENHAGEN,SAS,D,S,5,0,0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,A,S,11,0,1,8.333333,25.0,8.333333,8.333333,16.666667,0.0,8.333333,16.666667,0.0,0.0,8.333333,61.0,13,46.153846,35.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,DENMARK,ESBJERG,LOGANAIR LTD,D,S,13,0,1,7.142857,28.571429,21.428571,0.0,14.285714,0.0,7.142857,14.285714,0.0,0.0,7.142857,52.0,13,61.538462,30.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,A,S,32,0,2,14.705882,32.352941,26.470588,8.823529,5.882353,2.941176,2.941176,0.0,0.0,0.0,5.882353,13.0,26,59.259259,15.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,D,S,32,0,2,8.823529,29.411765,32.352941,14.705882,0.0,2.941176,2.941176,2.941176,0.0,0.0,5.882353,19.0,26,59.259259,21.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,A,S,24,0,1,24.0,24.0,12.0,8.0,12.0,8.0,0.0,8.0,0.0,0.0,4.0,34.0,22,65.217391,22.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,IRISH REPUBLIC,DUBLIN,LOGANAIR LTD,D,S,24,0,1,0.0,36.0,24.0,8.0,16.0,4.0,0.0,8.0,0.0,0.0,4.0,31.0,22,56.521739,22.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,A,S,36,0,9,0.0,20.0,42.222222,8.888889,8.888889,0.0,0.0,0.0,0.0,0.0,20.0,10.0,17,66.666667,5.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,D,S,36,0,11,0.0,10.638298,34.042553,10.638298,10.638298,6.382979,4.255319,0.0,0.0,0.0,23.404255,26.0,17,56.0,7.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,A,S,98,0,0,2.040816,34.693878,38.77551,11.22449,5.102041,7.142857,1.020408,0.0,0.0,0.0,0.0,15.0,113,77.192982,17.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,D,S,96,0,0,0.0,16.666667,46.875,9.375,10.416667,6.25,8.333333,1.041667,1.041667,0.0,0.0,33.0,113,67.256637,25.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,A,S,49,0,4,1.886792,37.735849,35.849057,3.773585,7.54717,5.660377,0.0,0.0,0.0,0.0,7.54717,12.0,50,75.0,12.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,D,S,49,0,4,5.660377,41.509434,24.528302,5.660377,7.54717,5.660377,1.886792,0.0,0.0,0.0,7.54717,16.0,50,77.358491,11.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,HAUGESUND,EASTERN AIRWAYS,D,C,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,00161
14/03/2025 09:52,2025-01-01,ABERDEEN,NORWAY,STAVANGER,SAS,A,S,37,0,2,30.769231,38.461538,12.820513,2.564103,2.564103,5.128205,2.564103,0.0,0.0,0.0,5.128205,10.0,32,54.285714,32.0,00161
